Dc1,Dc2,hC,tC1,tC2,PC,Lamda1,A1,Lamda2,A2,,,,,,,,
0.8,1.2,8.5,0.1,0.5,1.5,8.3,90.664,10,87.136,,,,,,,,
0.8,1.2,8.6,0.1,0.5,1.5,8.3,90.934,10,88.114,,,,,,,,
0.8,1.2,8.7,0.1,0.5,1.5,8.3,90.968,10.1,89.073,,,,,,,,
0.8,1.2,8.8,0.1,0.5,1.5,8.3,90.919,10.1,89.687,,,,,,,,
0.8,1.2,8.9,0.1,0.5,1.5,8.4,90.738,10.1,90.728,,,,,,,,
0.8,1.2,9,0.1,0.5,1.5,8.4,90.581,10.2,91.612,,,,,,,,
0.8,1.2,9.1,0.1,0.5,1.5,8.4,90.422,10.2,92.735,,,,,,,,
0.8,1.2,9.2,0.1,0.5,1.5,8.4,89.862,10.2,93.907,,,,,,,,
0.8,1.2,9.3,0.1,0.5,1.5,8.4,89.695,10.2,94.672,,,,,,,,
0.8,1.2,9.4,0.1,0.5,1.5,8.5,89.339,10.2,95.483,,,,,,,,
0.8,1.2,9.5,0.1,0.5,1.5,8.5,88.984,10.2,96.203,,,,,,,,
0.8,1.2,9.6,0.1,0.5,1.5,8.5,88.607,10.2,96.802,,,,,,,,
0.8,1.2,9.7,0.1,0.5,1.5,8.5,88.301,10.2,97.32,,,,,,,,
0.8,1.2,9.8,0.1,0.5,1.5,8.5,87.984,10.2,97.713,,,,,,,,
0.8,1.2,9.9,0.1,0.5,1.5,8.5,87.599,10.2,98.028,,,,,,,,
0.8,1.2,10,0.1,0.5,1.5,8.5,85.284,10.2,97.048,,,,,,,,
0.8,1.2,7,0.11,0.5,1.5,9.8,87.456,12.8,93.131,,,,,,,,
0.8,1.2,7,0.12,0.5,1.5,9.8,87.396,12.8,92.973,,,,,,,,
0.8,1.2,7,0.13,0.5,1.5,9.8,87.341,12.8,92.806,,,,,,,,
0.8,1.2,7,0.14,0.5,1.5,9.8,87.287,12.9,92.651,,,,,,,,
0.8,1.2,7,0.15,0.5,1.5,9.8,87.234,12.9,92.519,,,,,,,,
0.8,1.2,7,0.16,0.5,1.5,9.8,87.186,12.9,92.389,,,,,,,,
0.8,1.2,7,0.17,0.5,1.5,9.8,87.138,12.9,92.244,,,,,,,,
0.8,1.2,7,0.18,0.5,1.5,9.8,87.089,12.9,92.106,,,,,,,,
0.8,1.2,7,0.19,0.5,1.5,9.8,87.112,12.9,92.034,,,,,,,,
0.8,1.2,7,0.2,0.5,1.5,9.8,87.064,12.9,91.872,,,,,,,,
0.8,1.2,7,0.21,0.5,1.5,9.8,86.704,13,91.453,,,,,,,,
0.8,1.2,7,0.22,0.5,1.5,9.8,86.662,13,91.307,,,,,,,,
0.8,1.2,7,0.23,0.5,1.5,9.8,86.619,13,91.167,,,,,,,,
0.8,1.2,7,0.24,0.5,1.5,9.8,86.579,13,91.012,,,,,,,,
0.8,1.2,7,0.25,0.5,1.5,9.8,86.543,13,90.846,,,,,,,,
0.8,1.2,7,0.26,0.5,1.5,9.8,86.505,13,90.677,,,,,,,,
0.8,1.2,7,0.27,0.5,1.5,9.8,86.473,13,90.497,,,,,,,,
0.8,1.2,7,0.28,0.5,1.5,9.8,86.439,13,90.314,,,,,,,,
0.8,1.2,7,0.29,0.5,1.5,9.8,86.405,13,90.119,,,,,,,,
0.8,1.2,7,0.3,0.5,1.5,9.8,86.379,13,89.927,,,,,,,,
0.8,1.2,7,0.31,0.5,1.5,9.8,86.346,13,89.711,,,,,,,,
0.8,1.2,7,0.32,0.5,1.5,9.8,86.322,13,89.493,,,,,,,,
0.8,1.2,7,0.33,0.5,1.5,9.8,86.295,13,89.273,,,,,,,,
0.8,1.2,7,0.34,0.5,1.5,9.8,86.275,13,89.067,,,,,,,,
0.8,1.2,7,0.35,0.5,1.5,9.8,86.251,13,88.837,,,,,,,,
0.8,1.2,7,0.36,0.5,1.5,9.8,86.232,13,88.597,,,,,,,,
0.8,1.2,7,0.37,0.5,1.5,9.8,86.212,13,88.352,,,,,,,,
0.8,1.2,7,0.38,0.5,1.5,9.8,86.197,13,88.108,,,,,,,,
0.8,1.2,7,0.39,0.5,1.5,9.8,86.184,13,87.842,,,,,,,,
0.8,1.2,7,0.4,0.5,1.5,9.8,86.17,13,87.585,,,,,,,,
0.8,1.2,7,0.41,0.5,1.5,9.8,86.156,13,87.323,,,,,,,,
0.8,1.2,7,0.42,0.5,1.5,9.8,86.152,13,87.095,,,,,,,,
0.8,1.2,7,0.43,0.5,1.5,9.8,86.143,13,86.798,,,,,,,,
0.8,1.2,7,0.44,0.5,1.5,9.8,86.135,13,86.545,,,,,,,,
0.8,1.2,7,0.45,0.5,1.5,9.8,86.132,13,86.268,,,,,,,,
0.8,1.2,7,0.46,0.5,1.5,9.8,86.129,13,85.992,,,,,,,,
0.8,1.2,7,0.47,0.5,1.5,9.8,86.127,13,85.71,,,,,,,,
0.8,1.2,7,0.48,0.5,1.5,8.2,85.458,9.8,86.123,,,,,,,,
0.8,1.2,7,0.49,0.5,1.5,8.2,85.684,9.8,86.129,,,,,,,,
0.8,1.2,7,0.5,0.5,1.5,8.2,85.878,9.8,86.13,,,,,,,,
0.8,1.2,7,0.51,0.5,1.5,8.2,86.089,9.8,86.127,,,,,,,,
0.8,1.2,7,0.52,0.5,1.5,8.2,86.258,9.8,86.137,,,,,,,,
0.8,1.2,7,0.53,0.5,1.5,8.2,86.452,9.8,86.147,,,,,,,,
0.8,1.2,7,0.54,0.5,1.5,8.2,86.566,9.8,86.152,,,,,,,,
0.8,1.2,7,0.55,0.5,1.5,8.2,86.984,9.8,86.568,,,,,,,,
0.8,1.2,7,0.56,0.5,1.5,8.2,87.199,9.8,86.604,,,,,,,,
0.8,1.2,7,0.57,0.5,1.5,8.2,87.267,9.8,86.592,,,,,,,,
0.8,1.2,7,0.58,0.5,1.5,8.2,87.374,9.8,86.602,,,,,,,,
0.8,1.2,7,0.59,0.5,1.5,8.3,87.575,9.8,86.636,,,,,,,,
0.8,1.2,7,0.6,0.5,1.5,8.3,87.689,9.8,86.701,,,,,,,,
0.8,1.2,7,0.61,0.5,1.5,8.3,87.876,9.8,86.648,,,,,,,,
0.8,1.2,7,0.62,0.5,1.5,8.3,88.184,9.8,86.73,,,,,,,,
0.8,1.2,7,0.63,0.5,1.5,8.3,88.342,9.8,86.685,,,,,,,,
0.8,1.2,7,0.64,0.5,1.5,8.3,88.35,9.8,86.646,,,,,,,,
0.8,1.2,7,0.65,0.5,1.5,8.3,88.504,9.8,86.671,,,,,,,,
0.8,1.2,7,0.66,0.5,1.5,8.3,88.568,9.8,86.548,,,,,,,,
0.8,1.2,7,0.67,0.5,1.5,8.3,88.677,9.8,86.581,,,,,,,,
0.8,1.2,7,0.68,0.5,1.5,8.3,88.729,9.8,86.602,,,,,,,,
0.8,1.2,7,0.69,0.5,1.5,8.4,88.599,9.8,85.443,,,,,,,,
0.8,1.2,7,0.7,0.5,1.5,8.4,89.285,9.8,86.73,,,,,,,,
0.8,1.2,7,0.71,0.5,1.5,8.4,89.42,9.8,86.755,,,,,,,,
0.8,1.2,7,0.72,0.5,1.5,8.4,89.44,9.8,86.348,,,,,,,,
0.8,1.2,7,0.73,0.5,1.5,8.4,89.739,9.8,86.83,,,,,,,,
0.8,1.2,7,0.74,0.5,1.5,8.4,89.889,9.8,86.865,,,,,,,,
0.8,1.2,7,0.75,0.5,1.5,8.4,90.007,9.8,86.909,,,,,,,,
0.8,1.2,7,0.76,0.5,1.5,8.4,90.112,9.8,86.947,,,,,,,,
0.8,1.2,7,0.77,0.5,1.5,8.4,90.199,9.8,86.991,,,,,,,,
0.8,1.2,7,0.78,0.5,1.5,8.4,90.168,9.8,86.608,,,,,,,,
0.8,1.2,7,0.79,0.5,1.5,8.5,90.505,9.8,87.086,,,,,,,,
0.8,1.2,7,0.8,0.5,1.5,8.5,90.586,9.8,86.703,,,,,,,,
0.8,1.2,7,0.81,0.5,1.5,8.5,90.908,9.8,87.185,,,,,,,,
0.8,1.2,7,0.82,0.5,1.5,8.5,91.07,9.8,87.241,,,,,,,,
0.8,1.2,7,0.83,0.5,1.5,8.5,91.231,9.8,87.29,,,,,,,,
0.8,1.2,7,0.84,0.5,1.5,8.5,91.393,9.8,87.402,,,,,,,,
0.8,1.2,7,0.85,0.5,1.5,8.5,91.516,9.8,87.455,,,,,,,,
0.8,1.2,7,0.86,0.5,1.5,8.5,91.487,9.8,87.058,,,,,,,,
0.8,1.2,7,0.87,0.5,1.5,8.5,91.679,9.8,87.572,,,,,,,,
0.8,1.2,7,0.88,0.5,1.5,8.5,91.712,9.8,87.208,,,,,,,,
0.8,1.2,7,0.89,0.5,1.5,8.6,91.823,9.8,87.255,,,,,,,,
0.8,1.2,7,0.9,0.5,1.5,8.6,92.144,9.8,87.784,,,,,,,,
0.8,1.2,7,0.91,0.5,1.5,8.6,92.296,9.8,87.767,,,,,,,,
0.8,1.2,7,0.92,0.5,1.5,8.6,92.458,9.8,87.834,,,,,,,,
0.8,1.2,7,0.93,0.5,1.5,8.6,92.587,9.8,87.905,,,,,,,,
0.8,1.2,7,0.94,0.5,1.5,8.6,92.611,9.8,87.582,,,,,,,,
0.8,1.2,7,0.95,0.5,1.5,8.6,92.791,9.8,88.043,,,,,,,,
0.8,1.2,7,0.96,0.5,1.5,8.6,92.884,9.8,88.12,,,,,,,,
0.8,1.2,7,0.97,0.5,1.5,8.6,92.937,9.8,88.193,,,,,,,,
0.8,1.2,7,0.98,0.5,1.5,8.7,93.107,9.8,88.267,,,,,,,,
0.8,1.2,7,0.99,0.5,1.5,8.7,93.312,9.8,88.348,,,,,,,,
0.8,1.2,7,1,0.5,1.5,8.7,93.494,9.8,88.432,,,,,,,,
